Line No,File Path,Error No,Error Message,Misra Level,MISRA Rule No
7,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_InpUegoSensor_Shape.h,967,"""Header file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_InpUegoSensor_Shape.h' does not have a standard include guard""",MM-PWT 6,N/A
11,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_ResCellBalancing_Shape.h,967,"""Header file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_ResCellBalancing_Shape.h' does not have a standard include guard""",MM-PWT 6,N/A
11,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_ResChipInterface_Shape.h,967,"""Header file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_ResChipInterface_Shape.h' does not have a standard include guard""",MM-PWT 6,N/A
11,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_ResSafetyMechanism_Shape.h,967,"""Header file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/cfg/sdc_cfg/DD_ResSafetyMechanism_Shape.h' does not have a standard include guard""",MM-PWT 6,N/A
12,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_cfgstat/dd_cfgstat/DD_LibCfg/DD_Lib_Shape.h,967,"""Header file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_cfgstat/dd_cfgstat/DD_LibCfg/DD_Lib_Shape.h' does not have a standard include guard""",MM-PWT 6,N/A
12,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/dd/dd_library/DD_OutDiag_Shape.h,967,"""Header file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/dd/dd_library/DD_OutDiag_Shape.h' does not have a standard include guard""",MM-PWT 6,N/A
11,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/arch/sections/pragma_section.h,9071,"""defined macro '_cm11ve_1_pragama_section_h_H' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
14,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/arch/autosar_types/Std_Types.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/arch/autosar_types/Platform_Types.h'""",MM-PWT 7,N/A
43,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9071,"""defined macro '__INTTAB_CPU0_' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
47,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9071,"""defined macro '__INTTAB_CPU1_' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
